iter	Passed	Remaining
922	8290	691
923	8299	682
924	8309	673
925	8318	664
926	8327	655
927	8336	646
928	8346	637
929	8355	628
930	8364	619
931	8373	610
932	8383	602
933	8393	593
934	8404	584
935	8413	575
936	8421	566
937	8430	557
938	8440	548
939	8449	539
940	8459	530
941	8468	521
942	8477	512
943	8488	503
944	8497	494
945	8508	485
946	8517	476
947	8526	467
948	8536	458
949	8544	449
950	8554	440
951	8562	431
952	8572	422
953	8580	413
954	8590	404
955	8599	395
956	8608	386
957	8617	377
958	8626	368
959	8636	359
960	8646	350
961	8654	341
962	8664	332
963	8672	323
964	8680	314
965	8691	305
966	8701	296
967	8710	287
968	8719	278
969	8728	269
970	8736	260
971	8744	251
972	8753	242
973	8763	233
974	8772	224
975	8780	215
976	8788	206
977	8797	197
978	8805	188
979	8814	179
980	8824	170
981	8833	161
982	8841	152
983	8849	143
984	8856	134
985	8865	125
986	8873	116
987	8883	107
988	8892	98
989	8901	89
990	8909	80
991	8917	71
992	8926	62
993	8934	53
994	8943	44
995	8952	35
996	8961	26
997	8969	17
998	8977	8
999	8985	0
